Store,C,N,E,S,W,NW
Countdown Airport,0,0,0,1,0,0
Countdown Auckland City,1,0,0,0,0,0
Countdown Aviemore Drive,0,0,1,0,0,0
Countdown Birkenhead,0,1,0,0,0,0
Countdown Blockhouse Bay,0,0,0,0,1,0
Countdown Botany Downs,0,0,1,0,0,0
Countdown Browns Bay,0,1,0,0,0,0
Countdown Glenfield,0,1,0,0,0,0
Countdown Greenlane,1,0,0,0,0,0
Countdown Grey Lynn,1,0,0,0,0,0
Countdown Grey Lynn Central,1,0,0,0,0,0
Countdown Hauraki Corner,0,1,0,0,0,0
Countdown Henderson,0,0,0,0,0,1
Countdown Highland Park,0,0,1,0,0,0
Countdown Hobsonville,0,0,0,0,0,1
Countdown Howick,0,0,1,0,0,0
Countdown Kelston,0,0,0,0,1,0
Countdown Lincoln Road,0,0,0,0,0,1
Countdown Lynfield,0,0,0,0,1,0
Countdown Lynmall,0,0,0,0,1,0
Countdown Mairangi Bay,0,1,0,0,0,0
Countdown Mangere East,0,0,0,1,0,0
Countdown Mangere Mall,0,0,0,1,0,0
Countdown Manukau,0,0,0,1,0,0
Countdown Manukau Mall,0,0,0,1,0,0
Countdown Manurewa,0,0,0,1,0,0
Countdown Meadowbank,0,0,1,0,0,0
Countdown Meadowlands,0,0,1,0,0,0
Countdown Milford,0,1,0,0,0,0
Countdown Mt Eden,1,0,0,0,0,0
Countdown Mt Roskill,0,0,0,0,1,0
Countdown Mt Wellington,0,0,1,0,0,0
Countdown Newmarket,1,0,0,0,0,0
Countdown Northcote,0,1,0,0,0,0
Countdown Northwest,0,0,0,0,0,1
Countdown Onehunga,0,0,0,0,1,0
Countdown Pakuranga,0,0,1,0,0,0
Countdown Papakura,0,0,0,1,0,0
Countdown Papatoetoe,0,0,0,1,0,0
Countdown Ponsonby,1,0,0,0,0,0
Countdown Pt Chevalier,1,0,0,0,1,1
Countdown Roselands,0,0,0,1,0,0
Countdown St Johns,0,0,1,0,0,0
Countdown St Lukes,1,0,0,0,1,0
Countdown Sunnynook,0,1,0,0,0,0
Countdown Sylvia Park,0,0,1,0,0,0
Countdown Takanini,0,0,0,1,0,0
Countdown Takapuna,0,1,0,0,0,0
Countdown Te Atatu,0,0,0,0,0,1
Countdown Te Atatu South,0,0,0,0,0,1
Countdown Three Kings,0,0,0,0,1,0
Countdown Victoria Street West,1,0,0,0,0,0
Countdown Westgate,0,0,0,0,0,1
Countdown Metro Albert Street,1,0,0,0,0,0
Countdown Metro Halsey Street,1,0,0,0,0,0
Distribution Centre Auckland,1,1,1,1,1,1
FreshChoice Glen Eden,0,0,0,0,1,0
FreshChoice Half Moon Bay,0,0,1,0,0,0
FreshChoice Mangere Bridge,0,0,0,1,1,0
FreshChoice Otahuhu,0,0,0,1,0,0
FreshChoice Ranui,0,0,0,0,0,1
SuperValue Avondale,0,0,0,0,1,0
SuperValue Flatbush,0,0,0,1,0,0
SuperValue Palomino,0,0,0,0,0,1
SuperValue Papakura,0,0,0,1,0,0
SuperValue Titirangi,0,0,0,0,1,0
